	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	Z
A	.	18	18	30	36	42	48	30	30	42	42	54	66	48	78	60	48	54	66	66	66
B	18	.	12	24	30	36	42	12	24	24	36	48	60	42	72	42	42	48	60	60	60
C	18	12	.	12	18	24	30	24	12	36	24	36	48	30	60	54	42	36	48	48	48
D	30	24	12	.	6	12	18	36	24	48	24	24	36	42	48	66	54	48	36	48	48
E	36	30	18	6	.	6	12	42	30	54	30	18	30	48	42	72	60	54	42	54	54
F	42	36	24	12	6	.	6	36	24	48	24	12	24	42	36	66	54	48	36	48	48
G	48	42	30	18	12	6	.	42	30	54	30	18	18	48	30	72	60	54	42	54	54
H	30	12	24	36	42	36	42	.	12	12	24	36	48	30	60	30	30	36	48	48	48
I	30	24	12	24	30	24	30	12	.	24	12	24	36	18	48	42	30	24	36	36	36
J	42	24	36	48	54	48	54	12	24	.	24	36	48	30	60	18	30	36	48	48	48
K	42	36	24	24	30	24	30	24	12	24	.	12	24	18	36	42	30	24	24	24	24
L	54	48	36	24	18	12	18	36	24	36	12	.	12	30	24	54	42	36	24	36	36
M	66	60	48	36	30	24	18	48	36	48	24	12	.	30	12	54	42	36	24	36	36
N	48	42	30	42	48	42	48	30	18	30	18	30	30	.	30	24	12	6	18	18	18
O	78	72	60	48	42	36	30	60	48	60	36	24	12	30	.	54	42	36	24	36	36
P	60	42	54	66	72	66	72	30	42	18	42	54	54	24	54	.	12	18	30	30	30
Q	48	42	42	54	60	54	60	30	30	30	30	42	42	12	42	12	.	6	18	18	18
R	54	48	36	48	54	48	54	36	24	36	24	36	36	6	36	18	6	.	12	12	12
S	66	60	48	36	42	36	42	48	36	48	24	24	24	18	24	30	18	12	.	12	12
T	66	60	48	48	54	48	54	48	36	48	24	36	36	18	36	30	18	12	12	.	0
Z	66	60	48	48	54	48	54	48	36	48	24	36	36	18	36	30	18	12	12	0	.
