	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	Z
A	.	3	3	5	6	7	8	5	5	7	7	9	11	8	13	10	8	9	11	11	11
B	3	.	2	4	5	6	7	2	4	4	6	8	10	7	12	7	7	8	10	10	10
C	3	2	.	2	3	4	5	4	2	6	4	6	8	5	10	9	7	6	8	8	8
D	5	4	2	.	1	2	3	6	4	8	4	4	6	7	8	11	9	8	6	8	8
E	6	5	3	1	.	1	2	7	5	9	5	3	5	8	7	12	10	9	7	9	9
F	7	6	4	2	1	.	1	6	4	8	4	2	4	7	6	11	9	8	6	8	8
G	8	7	5	3	2	1	.	7	5	9	5	3	3	8	5	12	10	9	7	9	9
H	5	2	4	6	7	6	7	.	2	2	4	6	8	5	10	5	5	6	8	8	8
I	5	4	2	4	5	4	5	2	.	4	2	4	6	3	8	7	5	4	6	6	6
J	7	4	6	8	9	8	9	2	4	.	4	6	8	5	10	3	5	6	8	8	8
K	7	6	4	4	5	4	5	4	2	4	.	2	4	3	6	7	5	4	4	4	4
L	9	8	6	4	3	2	3	6	4	6	2	.	2	5	4	9	7	6	4	6	6
M	11	10	8	6	5	4	3	8	6	8	4	2	.	5	2	9	7	6	4	6	6
N	8	7	5	7	8	7	8	5	3	5	3	5	5	.	5	4	2	1	3	3	3
O	13	12	10	8	7	6	5	10	8	10	6	4	2	5	.	9	7	6	4	6	6
P	10	7	9	11	12	11	12	5	7	3	7	9	9	4	9	.	2	3	5	5	5
Q	8	7	7	9	10	9	10	5	5	5	5	7	7	2	7	2	.	1	3	3	3
R	9	8	6	8	9	8	9	6	4	6	4	6	6	1	6	3	1	.	2	2	2
S	11	10	8	6	7	6	7	8	6	8	4	4	4	3	4	5	3	2	.	2	2
T	11	10	8	8	9	8	9	8	6	8	4	6	6	3	6	5	3	2	2	.	0
Z	11	10	8	8	9	8	9	8	6	8	4	6	6	3	6	5	3	2	2	0	.
